random,ID,Edad,Genero,Vive,Vive_2,Ocupacion,Ocupacion,compraria_sexo,Compraria_2,Precio_bs,Material,color,Tipo
1,26,22,1,Zona Norte,2,Universitario,1,0,1,50,0,Guindo,1
1,25,30,1,Zona Sur,3,Profesional,0,,0,40,1,Plomo,0
1,11,23,1,Zona Central,1,Universitario,1,1,1,70,1,Negro,1
1,13,23,1,Zona Central,1,Universitario,1,1,1,40,0,Negro,1
1,8,24,1,Zona Norte,2,Universitario,1,1,1,50,1,Plomo,0
1,27,27,1,Zona Norte,2,Profesional,0,1,1,100,0,Plomo,1
1,22,25,0,Zona Norte,2,Profesional,0,0,1,100,0,Guindo,0
1,4,23,0,Zona Central,1,Universitario,1,0,1,60,0,Negro,1
1,10,22,1,Zona Norte,2,Universitario,1,0,1,90,0,Plomo,1
1,21,19,0,Zona Norte,2,Estudiante (colegio),1,,0,40,1,Negro,1
1,17,19,1,Zona Central,1,Estudiante (colegio),1,1,1,40,1,"Plomo, Negro",1
1,18,17,0,Zona Central,1,Estudiante (colegio),1,0,1,80,1,"Plomo, Negro",0
1,19,20,1,Zona Sur,3,Universitario,1,,0,40,1,Negro,0
1,20,24,0,Zona Norte,2,Profesional,0,0,1,50,0,Negro,0
1,7,23,0,Zona Central,1,Universitario,1,0,1,80,1,"Guindo, Plomo, Negro",0
1,30,22,1,Zona Norte,2,Universitario,1,1,1,50,1,Plomo,1
1,23,26,1,Zona Central,1,Universitario,1,1,1,50,1,"Guindo, Plomo",1
1,6,19,1,Zona Norte,2,Universitario,1,1,1,60,1,"Plomo, Negro",1
1,15,24,0,Zona Central,1,Universitario,1,0,1,50,1,Negro,1
1,16,24,0,Zona Norte,2,Universitario,1,0,1,40,0,Negro,1
1,14,21,1,Zona Norte,2,Universitario,1,,0,100,1,Negro,1
